Time,Latitude,Longitude,Temperature,Humidity,Pressure,Altitude,VOC,counts
1713401424.8,0,0,21.26388671875,49.531038074424444,1007.7344497049494,46.02225946426462,117136.5,24.0
1713401426.8,0,0,21.26876953125,49.50988619933724,1007.7283506480608,46.07326335001669,116751.5,24.0
1713401428.8,0,0,21.2735546875,49.47318920923841,1007.7229718089968,46.118244519614535,118668.5,29.0
1713401430.79,0,0,21.28107421875,49.44926210561391,1007.722062296761,46.12585048740873,118829.0,31.0
1713401432.79,0,0,21.2887890625,49.42536158620843,1007.7258720595319,46.093990817552154,119514.0,26.5
1713401434.8,0,0,21.2958203125,49.40448508510483,1007.7347248078042,46.01995893935771,120241.5,24.0
1713401436.75,0,0,21.2958203125,49.40448508510483,1007.7347248078042,46.01995893935771,120241.5,24.0
1713401438.8,0,0,21.3036328125,49.38060183781457,1007.7360536776209,46.00884615309785,119998.5,30.5
1713401440.8,0,0,21.3087109375,49.350175229150835,1007.7390735408206,45.98359242629735,120161.0,27.0
1713401442.8,0,0,21.31642578125,49.32939075292473,1007.7402424143233,45.97381769205339,120569.0,35.0
1713401444.77,0,0,21.3286328125,49.30916095213661,1007.7408325183089,45.9688829400655,120775.0,35.0
1713401446.82,0,0,21.34171875,49.28283317950917,1007.7375777405382,45.996101108401604,121106.0,25.5
1713401448.79,0,0,21.354121093750003,49.25642462553826,1007.7367253634737,46.00322918417105,121147.5,31.5
1713401450.8,0,0,21.371015625,49.242983933607334,1007.7326522993889,46.03729041530934,121023.0,26.5
1713401452.8,0,0,21.384882812500003,49.21675994392645,1007.7271507623866,46.08329751471558,121480.0,32.0
1713401454.78,0,0,21.393671875000003,49.18681334548119,1007.7362341441126,46.00733699301871,121522.0,32.0
1713401456.82,0,0,21.401386718749997,49.153637429425444,1007.7347595705232,46.01966819814065,122194.5,31.5
1713401458.79,0,0,21.408808593750003,49.129734836165696,1007.7301652317954,46.058088694370724,122068.0,32.5
1713401460.8,0,0,21.41544921875,49.11194164768415,1007.738377500881,45.989413091536875,122199.5,28.0
1713401462.79,0,0,21.4192578125,49.11551011373744,1007.7472427188695,45.915277659473624,121564.5,28.5
1713401464.78,0,0,21.42443359375,49.12234777939115,1007.7504201977504,45.888706101193975,121941.0,28.5
1713401466.82,0,0,21.42765625,49.1010348497032,1007.7433635517311,45.94771715244305,122025.5,28.0
1713401468.8,0,0,21.4301953125,49.076539781274946,1007.7536749671999,45.86148827919463,122448.0,27.0
1713401470.8,0,0,21.43400390625,49.064604750819804,1007.7510968363412,45.88304775009408,122278.0,27.5
1713401472.77,0,0,21.436054687499997,49.03385461109237,1007.7526879275304,45.86974234108065,122749.5,27.5
1713401474.79,0,0,21.4368359375,49.02465097664515,1007.7504436720881,45.888509796072206,122533.0,24.5
1713401476.81,0,0,21.4368359375,48.99985518499072,1007.7539647329811,45.85906513575631,122490.0,34.0
